iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped
"1","EG+","Get_token","POST","https://api-eg3-qa.nextdrive.io/api/v1/oauth2/tokens/exchange","OK","200","263","68","Response Body{""code"":403,""message"":""forbidden: Cannot add a user to ioe-account""}"
"1","EG+","Get_single_gateway_info_by_UUID","GET","https://api-eg3-qa.nextdrive.io/api/v1/gateways/23d5de6a-01b4-4529-ada8-16a913031324","Unauthorized","401","82","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_beep_brand_list","GET","https://api-eg3-qa.nextdrive.io/api/v1/aircon/brands","Unauthorized","401","71","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_beep_brand_model_list","GET","https://api-eg3-qa.nextdrive.io/api/v1/aircon/brands/7","Unauthorized","401","73","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get _device_info_by_UUID_for_dashboard","GET","https://api-eg3-qa.nextdrive.io/api/v1/devices/81b656e8-42bb-430f-a430-6504289901bb/dashboards","Unauthorized","401","106","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_latest_device_notification_list","GET","https://api-eg3-qa.nextdrive.io/api/v1/notifications/events/latests","Unauthorized","401","63","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_device _info_by_UUID","GET","https://api-eg3-qa.nextdrive.io/api/v1/devices/81b656e8-42bb-430f-a430-6504289901bb","Unauthorized","401","87","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_search_news_feed","GET","https://api-eg3-qa.nextdrive.io/api/v1/posts/search?keyword=test","Unauthorized","401","72","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_service_store","GET","https://api-eg3-qa.nextdrive.io/api/v1/services","Unauthorized","401","95","0"
"1","EG+","Get_user_name","GET","https://api-eg3-qa.nextdrive.io/api/v1/users","Unauthorized","401","109","0"
"1","EG+","Get_gateways_and_devices_list","GET","https://api-eg3-qa.nextdrive.io/api/v1/gateways","Unauthorized","401","72","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_notification_threshold","GET","https://api-eg3-qa.nextdrive.io/api/v1/devices/81b656e8-42bb-430f-a430-6504289901bb/notifications","Unauthorized","401","78","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_location","GET","https://api-eg3-qa.nextdrive.io/api/v1/gateways/23d5de6a-01b4-4529-ada8-16a913031324/locations?postalCode=0740001","Unauthorized","401","77","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_video_list_of_usb_camera_device","GET","https://api-eg3-qa.nextdrive.io/api/v1/devices/31b92857-ed59-47b0-b64e-4a6d9616f22b/videos","Unauthorized","401","61","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_device_data_motion_battery","GET","https://api-eg3-qa.nextdrive.io/api/v1/devices/81b656e8-42bb-430f-a430-6504289901bb/data?scope=battery&startTime=1620921600000&periodType=day&periodLength=1","Unauthorized","401","63","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","Get_weather","GET","https://api-eg3-qa.nextdrive.io/api/v1/gateways/23d5de6a-01b4-4529-ada8-16a913031324/weathers","Unauthorized","401","73","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","PUT_api_v1_device_{deviceUuid}_Change_motion_name","PUT","https://api-eg3-qa.nextdrive.io/api/v1/devices/81b656e8-42bb-430f-a430-6504289901bb","Unauthorized","401","112","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
"1","EG+","PUT_api_v1_gateways_{gatewayUuid}_Change_cube_name","PUT","https://api-eg3-qa.nextdrive.io/api/v1/gateways/23d5de6a-01b4-4529-ada8-16a913031324","Unauthorized","401","65","63","Response Body{""code"":401,""message"":""Unauthorized: Invalid token components""}"
